BucketName,CrossRegionReplicationStatus
1set2,Disabled
1set3,Enabled
1set4,Disabled
aws-athena-query-results-us-east-1-416207743258,Disabled
aws-cloudtrail-logs-416207743258-034eb8d5,Disabled
aws-cloudtrail-logs-416207743258-832e6fa2,Disabled
aws-cloudtrail-logs-416207743258-9affd9a6,Disabled
aws-cloudtrail-logs-416207743258-d52568c9,Disabled
aws-cloudtrail-logs-416207743258-eaa70b7b,Disabled
aws-sso-migration-ttn-ext-org,Disabled
buck-9012,Disabled
bucket-for-sso-data-adityaajay,Disabled
central-cloudtrail-logs-bucket-416207743258,Disabled
cf-templates-1svyd0r718srg-ap-south-1,Disabled
cf-templates-1svyd0r718srg-us-east-1,Disabled
cfn-template-cloudkeeper-onboarding,Disabled
ck-lens-22699-aslf7asfn,Enabled
ck-s3-payerautomation-externalpoc,Disabled
cloudfront-source-demo-bucket,Disabled
cloudtrail-log-query-table,Disabled
cloudtrail-logs-12345654321,Disabled
cloudtrail-logs-trail-02,Disabled
config-bucket-416207743258,Disabled
csv-cur-ttn-poc-ttn-org-pocs,Enabled
cur-bucket-for-nops,Disabled
datadogintegration-forwarderstack-forwarderbucket-qw5vcytds9nu,Disabled
demobucketforckextension,Disabled
dummmy--bucket,Disabled
parquet-cur-ttn-poc-ttn-org-pocs,Enabled
public-bucket-test.1,Disabled
rate-limit-bucket-cf,Disabled
sso-data-bucket,Disabled
tagcomplianceadityaajaypoc,Disabled
test-s3-public-1,Disabled
testing-bucket-replication,Disabled
war-script-test,Disabled
